Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
17061,Coraline,Neil Gaiman,"Gaiman, Neil",Dave McKean,"=""0061139378""","=""9780061139376""",0,4.10,William Morrow Paperbacks,Paperback,176,2006,2002,,2019/03/09,,,read,,,,1,0
6334,Never Let Me Go,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""""","=""""",0,3.84,Vintage Books ,Paperback,288,2010,2005,,2021/12/25,to-read,to-read (#99),to-read,,,,0,0
28921,The Remains of the Day,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""""","=""""",0,4.14,Faber & Faber,Paperback,258,2005,1989,,2021/12/25,to-read,to-read (#98),to-read,,,,0,0
54120408,Klara and the Sun,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""059331817X""","=""9780593318171""",5,3.76,Alfred A. Knopf,Hardcover,303,2021,2021,2021/12/25,2021/12/20,,,read,,,,1,0
40381392,"Finale (Caraval, #3)",Stephanie Garber,"Garber, Stephanie",,"=""1250157668""","=""9781250157669""",4,4.20,Flatiron Books,Hardcover,478,2019,2019,2021/12/22,2021/12/11,,,read,4.5,,,1,0
25744928,Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,"Newport, Cal",,"=""1455586692""","=""9781455586691""",4,4.19,Grand Central Publishing,Hardcover,296,2016,2016,2021/07/21,2021/07/16,,,read,,,,1,0
1052,The Richest Man in Babylon,George S. Clason,"Clason, George S.",,"=""0451205367""","=""9780451205360""",0,4.25,Berkley Books,Paperback,194,2002,1926,,2021/12/21,to-read,to-read (#97),to-read,,,,0,0
13260184,The 4 Disciplines of Execution: Achieving Your Wildly Important Goals,Chris McChesney,"McChesney, Chris","Sean Covey, Jim Huling","=""145162705X""","=""9781451627053""",0,4.08,Free Press,Hardcover,296,2012,2011,,2021/12/21,to-read,to-read (#96),to-read,,,,0,0
11574,The Body,Robin Waterfield,"Waterfield, Robin",Stephen King,"=""0582418178""","=""9780582418172""",0,4.29,Penguin Books,Paperback,80,1999,1982,,2021/12/20,to-read,to-read (#95),to-read,,,,0,0
17788401,Ugly Love,Colleen Hoover,"Hoover, Colleen",,"=""""","=""""",0,4.12,Atria Books,Kindle Edition,333,2014,2014,,2021/12/20,to-read,to-read (#94),to-read,,,,0,0
